Facil,Fechada,Planejamento,Selecione a alternativa que descreve as estratégias do nível funcional. ,"Pesquisa e Desenvolvimento, Fabricação, Marketing, Vendas e Finanças.","Distribuição, Vendas, Fabricação, Marketing e Finanças.","Pesquisa e desenvolvimento, Fabricação, Faturamento, Marketing e Vendas.","Fabricação, Desenvolvimento, Marketing, Vendas e Finanças."
Medio,Fechada,Planejamento,"Associe essa frase “...é necessária para identificar as vantagens e desvantagens competitivas da organização, suas forças e suas fraquezas em relação aos seus competidores, atuais e futuros...” ",Análise de Recursos,Identificação de Oportunidade Estratégicas e Ameaças  ,Análise Ambiental,Identificação das Metas e Estratégias Atuais
Medio,Verdadeiro e Falso,Gerentes e Administracao,"De acordo com Henri Fayol, o processo administrativo envolve cinco atividades principais: planejamento, organização, comando, coordenação e controle. Essas atividades são independentes umas das outras e não afetam mutuamente?",Falso,Verdadeira,-,-
Medio,Fechada,Planejamento,O que é o propósito da análise ambiental nas organizações?,Identificar oportunidades de mercado.,Prever com precisão todas as mudanças no ambiente.,Monitorar o desempenho financeiro da organização.,Avaliar a satisfação dos funcionários.
Medio,Verdadeiro e Falso,Planejamento,"Segundo Stoner e Freeman (1999), no quinto passo do processo de planejamento estratégico, a identificação de oportunidades estratégicas e ameaças ocorre separadamente, sem relação com os passos anteriores.",Falso,Verdadeira,,
Facil,Fechada,Planejamento,"Qual é a origem da palavra ""estratégia"" e como os generais gregos eficazes a aplicavam em suas atividades militares?","A palavra ""estratégia"" deriva do grego strategein e envolve a arte ou ciência de ser um general, abrangendo liderança, táticas militares e tomada de decisões.","A palavra ""estratégia"" tem origem na língua latina e se refere ao planejamento de ações comerciais.","A palavra ""estratégia"" foi cunhada no século XX e está relacionada exclusivamente ao mundo dos negócios.","A palavra ""estratégia"" tem raízes na língua chinesa e está relacionada a estratégias de negociação em mercados internacionais."
Dificil,Verdadeiro e Falso,Planejamento,"A estratégia de empreendimento denominada ""Estratégia E Rawlsiana"" defende que uma corporação só deve promover a desigualdade entre stakeholders se ela resultar na melhoria do nível do stakeholder que estiver em pior situação.",Verdadeiro,Falso,-,-
Facil,Fechada,Planejamento,Qual dos seguintes não é um dos 9 passos do processo formal de planejamento?,Avaliação de desempenho financeiro.,Implementação de estratégias.,"Análise Forças, Fraquezas, Oportunidades e Ameaças.", Estabelecimento de objetivos e metas.
Dificil,Fechada,5 Forças de Porter,"Imagine que um setor industrial revelou alta rivalidade entre concorrentes existentes, alto poder de negociação dos fornecedores e alto poder de negociação dos compradores. Com base nessas informações, qual das seguintes estratégias com base nas condições descritas pelas cinco Forças de Porter seria mais apropriada para uma empresa que deseja ter sucesso nesse setor?",Focar na diferenciação de produtos para reduzir a rivalidade direta.,Concentrar-se na redução de custos operacionais para enfrentar os fornecedores.,Expandir a base de clientes para aumentar o poder de negociação dos compradores.,Estabelecer uma coloboração com um concorrente para combinar recursos
Facil,Verdadeiro e Falso,5 Forças de Porter,"De acordo com o modelo das Cinco Forças de Porter, o poder de barganha dos fornecedores é maior quando há muitos fornecedores no mercado.",Falso,Verdadeiro,,
Dificil,Fechada,Organizacao,"De acordo com Robbins e Decenzo, a departamentalização é um aspecto crucial da estrutura organizacional. Existem vários tipos de departamentalização, cada um com suas próprias características e benefícios. Qual das seguintes afirmações é verdadeira sobre os diferentes tipos de departamentalização?

1. Departamentalização Funcional: Este tipo de departamentalização agrupa empregos que desempenham funções semelhantes. No entanto, pode levar a uma visão estreita e a uma falta de coordenação entre os departamentos.
2. Departamentalização por Produto: Este tipo de departamentalização agrupa atividades em torno de produtos ou linhas de produtos. No entanto, pode levar a uma duplicação de recursos.
3. Departamentalização Geográfica: Este tipo de departamentalização agrupa atividades com base na localização geográfica. No entanto, pode levar a uma falta de coordenação entre as localizações.
4. Departamentalização por Processo: Este tipo de departamentalização agrupa atividades com base no processo ou no fluxo de trabalho. No entanto, pode levar a uma falta de flexibilidade.
5. Departamentalização por Cliente: Este tipo de departamentalização agrupa atividades com base nas necessidades dos clientes. No entanto, não leva a uma duplicação de recursos.","Apenas 1, 2, 3 e 4 estão corretas",Apenas 2 e 4 estão corretas,"Apenas 1, 3 e 5 estão corretas",Todas as afirmações estão corretas
Facil,Fechada,Organizacao,Quais são os 5 tipos de poder?,"Poderes: Coercivo, Recompensa, Legítimo, Especialização e Referência","Poderes: Coecirvo, Recompensa, Sugestão, Legítimo e de Refecência","Poderes: Manipulação, Recompensa, Sugestão, Legítimo e Refência","Poderes: Coercivo, Carisma, Reputação, Político e Divino"
Medio,Verdadeiro e Falso,Organizacao,Uma estrutura simples é caracterizada por uma alta especialização do trabalho e muitas regras que comandam as operações. Essa é uma afirmação Verdadeira ou Falsa?,Falso,Verdadeiro,,
Facil,Fechada,Organizacao,Qual dessas não é caracteristica da cultura organizacional?,Foco no produto,Identidade de membro,Controle,Tolerancia a riscos
Medio,Verdadeiro e Falso,Organizacao,"
A afirmação ""VARIÁVEIS DE CONTINGÊNCIA QUE AFETAM A ESTRUTURA"" influenciam a escolha da estrutura organizacional?",Verdadeiro,Falso,,
Facil,Verdadeiro e Falso,Organizacao,"Verdadeiro ou falso: De acordo com Robbins e Decenzo, a autoridade de linha é caracterizada pela supervisão direta dos subordinados e pela responsabilidade sobre as atividades operacionais.",Verdadeiro,Falso,,
